price,coin,market_cap,volume,timestamp
97691.43431692653,bitcoin,1932373308116.0107,112340864006.62827,2024-12-21 00:00:00
97202.82496847633,bitcoin,1922768195068.165,53058382639.48845,2024-12-22 00:00:00
95094.27394862173,bitcoin,1884599149192.4587,44619017105.36954,2024-12-23 00:00:00
94644.91085464321,bitcoin,1874912975786.6604,64937790292.61125,2024-12-24 00:00:00
98695.71400782601,bitcoin,1951173788529.116,49169088282.15742,2024-12-25 00:00:00
99344.95417367229,bitcoin,1966481159354.1177,33963749856.44743,2024-12-26 00:00:00
95678.31244565405,bitcoin,1894744251986.1084,45049342388.18843,2024-12-27 00:00:00
94331.94727053077,bitcoin,1867708753554.924,41498540807.666954,2024-12-28 00:00:00
95184.61945288602,bitcoin,1885556552231.4314,22429850903.940086,2024-12-29 00:00:00
93663.44751964067,bitcoin,1854872605738.8086,24065314499.502274,2024-12-30 00:00:00
92627.28213113277,bitcoin,1833188187477.531,57595164139.4709,2024-12-31 00:00:00
93507.85874741491,bitcoin,1851839954625.13,45327464907.74362,2025-01-01 00:00:00
94384.1761153871,bitcoin,1869193319140.2422,23275007789.496334,2025-01-02 00:00:00
96852.14681235075,bitcoin,1917905016063.62,45157338602.617516,2025-01-03 00:00:00
98084.34279280754,bitcoin,1942834829349.9563,35721645948.10051,2025-01-04 00:00:00
98256.73876849933,bitcoin,1946611205641.351,20979035420.980793,2025-01-05 00:00:00
98364.58946599838,bitcoin,1948339898718.8586,20060293834.7155,2025-01-06 00:00:00
102229.39453189743,bitcoin,2024825178619.8228,46111387334.46171,2025-01-07 00:00:00
96952.09886774956,bitcoin,1919133187081.3127,60610257147.15405,2025-01-08 00:00:00
95016.71440989176,bitcoin,1885313354913.7239,65790469838.34392,2025-01-09 00:00:00
92376.27578346101,bitcoin,1832933628117.9436,65850881574.76184,2025-01-10 00:00:00
94736.6267420969,bitcoin,1876836759923.398,63433655716.757095,2025-01-11 00:00:00
94559.55167224213,bitcoin,1874286243377.8525,17836423168.41627,2025-01-12 00:00:00
94454.77089638807,bitcoin,1870314882306.9236,19608932595.53299,2025-01-13 00:00:00
94456.3493746993,bitcoin,1870609367804.8223,76328330233.31137,2025-01-14 00:00:00
96574.07768799194,bitcoin,1912603332624.1123,51241728228.81719,2025-01-15 00:00:00
100313.15239828422,bitcoin,1986831430651.8647,57637319739.543396,2025-01-16 00:00:00
100044.57926776377,bitcoin,1980935754458.284,50150102497.2729,2025-01-17 00:00:00
104160.69358484233,bitcoin,2063854663834.0774,69135117732.00064,2025-01-18 00:00:00
104334.61575724394,bitcoin,2067151195362.0425,49416447749.13053,2025-01-19 00:00:00
101275.33714814208,bitcoin,2014842808849.5005,72970313683.92325,2025-01-20 00:00:00
101764.90860170545,bitcoin,2017837068202.1384,120158523166.88387,2025-01-21 00:00:00
106182.2368201815,bitcoin,2098829000928.49,95344290057.8965,2025-01-22 00:00:00
103673.53509537787,bitcoin,2054288661793.9773,55030669602.56557,2025-01-23 00:00:00
104067.60991206947,bitcoin,2062360759045.0,102455227371.20761,2025-01-24 00:00:00
104835.19253555956,bitcoin,2076156720642.786,51418786362.7815,2025-01-25 00:00:00
104796.04077738234,bitcoin,2077647817531.3406,22740744964.719296,2025-01-26 00:00:00
102552.24874280207,bitcoin,2036324005947.406,20639818380.26942,2025-01-27 00:00:00
101958.46953745594,bitcoin,2019295541213.5288,93191643783.24739,2025-01-28 00:00:00
101313.11264498268,bitcoin,2007072201507.5273,45780526813.56264,2025-01-29 00:00:00
103718.97939813645,bitcoin,2056581551171.7,47425401641.53094,2025-01-30 00:00:00
104781.5135100103,bitcoin,2076760153260.6191,42122570869.034325,2025-01-31 00:00:00
102382.39409722165,bitcoin,2028504133577.489,37187819228.35328,2025-02-01 00:00:00
100674.78762544956,bitcoin,1996423711261.7268,22827776122.48367,2025-02-02 00:00:00
97568.31653024875,bitcoin,1933691439792.2544,59784234332.21204,2025-02-03 00:00:00
101466.8606657039,bitcoin,2011121374511.8835,122163969235.23686,2025-02-04 00:00:00
98118.43921664466,bitcoin,1943535291172.1597,73196693057.98114,2025-02-05 00:00:00
96582.88682919052,bitcoin,1912584628590.309,48848958931.79228,2025-02-06 00:00:00
96635.41875332211,bitcoin,1915093756057.5637,44462180396.172516,2025-02-07 00:00:00
96558.4563096667,bitcoin,1911296376425.356,57077722340.22422,2025-02-08 00:00:00
96558.23762501091,bitcoin,1914211835440.1182,20760850644.84597,2025-02-09 00:00:00
96548.57865379585,bitcoin,1913068773356.083,25457107581.051964,2025-02-10 00:00:00
97399.98161383197,bitcoin,1930742951090.367,37054987393.57789,2025-02-11 00:00:00
95739.97737079239,bitcoin,1898788887978.3252,36454577154.5622,2025-02-12 00:00:00
97836.18856127483,bitcoin,1936842454813.9983,47115618235.19051,2025-02-13 00:00:00
96561.6639990985,bitcoin,1914315097486.3862,29084371910.690556,2025-02-14 00:00:00
97488.48148536457,bitcoin,1931656846871.4856,32289906944.92862,2025-02-15 00:00:00
97569.95169430465,bitcoin,1934308378710.2861,14215311318.346336,2025-02-16 00:00:00
96149.3484548204,bitcoin,1905012222220.3691,13634794998.739267,2025-02-17 00:00:00
95776.15723852723,bitcoin,1898997753781.9536,25324374113.08163,2025-02-18 00:00:00
